trial,trial,condition,block_number,block_type,set_number,stimulus_number,stimulus,trigger
1,1,TrialType.Czech,1,BlockType.Homogenous,1,101,101_st_4.wav,11.0
2,2,TrialType.Czech,1,BlockType.Homogenous,1,64,64_st_4.wav,12.0
3,3,TrialType.Czech,1,BlockType.Homogenous,1,107,107_st_4.wav,13.0
4,4,TrialType.Czech,1,BlockType.Homogenous,1,125,125_st_4.wav,14.0
5,5,TrialType.Czech,2,BlockType.Alternating,1,71,71_st_4.wav,21.0
6,6,TrialType.Ostrava,2,BlockType.Alternating,1,82,82_d_4.wav,22.0
7,7,TrialType.Czech,2,BlockType.Alternating,1,70,70_st_4.wav,23.0
8,8,TrialType.Ostrava,2,BlockType.Alternating,1,89,89_d_4.wav,24.0
9,9,TrialType.Ostrava,3,BlockType.Homogenous,1,10,10_d_4.wav,31.0
10,10,TrialType.Ostrava,3,BlockType.Homogenous,1,127,127_d_4.wav,32.0
11,11,TrialType.Ostrava,3,BlockType.Homogenous,1,54,54_d_4.wav,33.0
12,12,TrialType.Ostrava,3,BlockType.Homogenous,1,65,65_d_4.wav,34.0
13,13,TrialType.Ostrava,4,BlockType.Alternating,1,41,41_d_4.wav,41.0
14,14,TrialType.Czech,4,BlockType.Alternating,1,96,96_st_4.wav,42.0
15,15,TrialType.Ostrava,4,BlockType.Alternating,1,6,06_d_4.wav,43.0
16,16,TrialType.Czech,4,BlockType.Alternating,1,15,15_st_4.wav,44.0
17,17,TrialType.Czech,1,BlockType.Homogenous,2,106,106_st_4.wav,11.0
18,18,TrialType.Czech,1,BlockType.Homogenous,2,66,66_st_4.wav,12.0
19,19,TrialType.Czech,1,BlockType.Homogenous,2,11,11_st_4.wav,13.0
20,20,TrialType.Czech,1,BlockType.Homogenous,2,20,20_st_4.wav,14.0
21,21,TrialType.Czech,2,BlockType.Alternating,2,57,57_st_4.wav,21.0
22,22,TrialType.Ostrava,2,BlockType.Alternating,2,81,81_d_4.wav,22.0
23,23,TrialType.Czech,2,BlockType.Alternating,2,2,02_st_4.wav,23.0
24,24,TrialType.Ostrava,2,BlockType.Alternating,2,68,68_d_4.wav,24.0
25,25,TrialType.Ostrava,3,BlockType.Homogenous,2,55,55_d_4.wav,31.0
26,26,TrialType.Ostrava,3,BlockType.Homogenous,2,76,76_d_4.wav,32.0
27,27,TrialType.Ostrava,3,BlockType.Homogenous,2,103,103_d_4.wav,33.0
28,28,TrialType.Ostrava,3,BlockType.Homogenous,2,85,85_d_4.wav,34.0
29,29,TrialType.Ostrava,4,BlockType.Alternating,2,30,30_d_4.wav,41.0
30,30,TrialType.Czech,4,BlockType.Alternating,2,36,36_st_4.wav,42.0
31,31,TrialType.Ostrava,4,BlockType.Alternating,2,37,37_d_4.wav,43.0
32,32,TrialType.Czech,4,BlockType.Alternating,2,47,47_st_4.wav,44.0
33,33,TrialType.Czech,1,BlockType.Homogenous,3,102,102_st_4.wav,11.0
34,34,TrialType.Czech,1,BlockType.Homogenous,3,122,122_st_4.wav,12.0
