trial,trial,condition,block_number,block_type,set_number,stimulus_number,stimulus,trigger
1,1,TrialType.Ostrava,4,BlockType.Alternating,1,8,08_d_4.wav,41
2,2,TrialType.Czech,4,BlockType.Alternating,1,123,123_st_4.wav,42
3,3,TrialType.Ostrava,4,BlockType.Alternating,1,46,46_d_4.wav,43
4,4,TrialType.Czech,4,BlockType.Alternating,1,120,120_st_4.wav,44
5,5,TrialType.Czech,1,BlockType.Homogenous,1,1,01_st_4.wav,11
6,6,TrialType.Czech,1,BlockType.Homogenous,1,130,130_st_4.wav,12
7,7,TrialType.Czech,1,BlockType.Homogenous,1,35,35_st_4.wav,13
8,8,TrialType.Czech,1,BlockType.Homogenous,1,84,84_st_4.wav,14
9,9,TrialType.Czech,2,BlockType.Alternating,1,72,72_st_4.wav,21
10,10,TrialType.Ostrava,2,BlockType.Alternating,1,2,02_d_4.wav,22
11,11,TrialType.Czech,2,BlockType.Alternating,1,88,88_st_4.wav,23
12,12,TrialType.Ostrava,2,BlockType.Alternating,1,117,117_d_4.wav,24
13,13,TrialType.Ostrava,3,BlockType.Homogenous,1,44,44_d_4.wav,31
14,14,TrialType.Ostrava,3,BlockType.Homogenous,1,53,53_d_4.wav,32
15,15,TrialType.Ostrava,3,BlockType.Homogenous,1,31,31_d_4.wav,33
16,16,TrialType.Ostrava,3,BlockType.Homogenous,1,127,127_d_4.wav,34
17,17,TrialType.Ostrava,4,BlockType.Alternating,2,66,66_d_4.wav,41
18,18,TrialType.Czech,4,BlockType.Alternating,2,45,45_st_4.wav,42
19,19,TrialType.Ostrava,4,BlockType.Alternating,2,80,80_d_4.wav,43
20,20,TrialType.Czech,4,BlockType.Alternating,2,95,95_st_4.wav,44
21,21,TrialType.Czech,1,BlockType.Homogenous,2,62,62_st_4.wav,11
22,22,TrialType.Czech,1,BlockType.Homogenous,2,106,106_st_4.wav,12
23,23,TrialType.Czech,1,BlockType.Homogenous,2,70,70_st_4.wav,13
24,24,TrialType.Czech,1,BlockType.Homogenous,2,24,24_st_4.wav,14
25,25,TrialType.Czech,2,BlockType.Alternating,2,21,21_st_4.wav,21
26,26,TrialType.Ostrava,2,BlockType.Alternating,2,94,94_d_4.wav,22
27,27,TrialType.Czech,2,BlockType.Alternating,2,116,116_st_4.wav,23
28,28,TrialType.Ostrava,2,BlockType.Alternating,2,47,47_d_4.wav,24
29,29,TrialType.Ostrava,3,BlockType.Homogenous,2,73,73_d_4.wav,31
30,30,TrialType.Ostrava,3,BlockType.Homogenous,2,29,29_d_4.wav,32
31,31,TrialType.Ostrava,3,BlockType.Homogenous,2,78,78_d_4.wav,33
32,32,TrialType.Ostrava,3,BlockType.Homogenous,2,96,96_d_4.wav,34
33,33,TrialType.Ostrava,4,BlockType.Alternating,3,111,111_d_4.wav,41
34,34,TrialType.Czech,4,BlockType.Alternating,3,33,33_st_4.wav,42
35,35,TrialType.Ostrava,4,BlockType.Alternating,3,61,61_d_4.wav,43
36,36,TrialType.Czech,4,BlockType.Alternating,3,101,101_st_4.wav,44
37,37,TrialType.Czech,1,BlockType.Homogenous,3,99,99_st_4.wav,11
38,38,TrialType.Czech,1,BlockType.Homogenous,3,34,34_st_4.wav,12
39,39,TrialType.Czech,1,BlockType.Homogenous,3,113,113_st_4.wav,13
40,40,TrialType.Czech,1,BlockType.Homogenous,3,118,118_st_4.wav,14
41,41,TrialType.Czech,2,BlockType.Alternating,3,54,54_st_4.wav,21
42,42,TrialType.Ostrava,2,BlockType.Alternating,3,22,22_d_4.wav,22
43,43,TrialType.Czech,2,BlockType.Alternating,3,67,67_st_4.wav,23
44,44,TrialType.Ostrava,2,BlockType.Alternating,3,104,104_d_4.wav,24
45,45,TrialType.Ostrava,3,BlockType.Homogenous,3,112,112_d_4.wav,31
46,46,TrialType.Ostrava,3,BlockType.Homogenous,3,6,06_d_4.wav,32
47,47,TrialType.Ostrava,3,BlockType.Homogenous,3,86,86_d_4.wav,33
48,48,TrialType.Ostrava,3,BlockType.Homogenous,3,103,103_d_4.wav,34
49,49,TrialType.Ostrava,4,BlockType.Alternating,4,71,71_d_4.wav,41
50,50,TrialType.Czech,4,BlockType.Alternating,4,64,64_st_4.wav,42
51,51,TrialType.Ostrava,4,BlockType.Alternating,4,69,69_d_4.wav,43
52,52,TrialType.Czech,4,BlockType.Alternating,4,74,74_st_4.wav,44
53,53,TrialType.Czech,1,BlockType.Homogenous,4,57,57_st_4.wav,11
54,54,TrialType.Czech,1,BlockType.Homogenous,4,3,03_st_4.wav,12
55,55,TrialType.Czech,1,BlockType.Homogenous,4,13,13_st_4.wav,13
56,56,TrialType.Czech,1,BlockType.Homogenous,4,4,04_st_4.wav,14
57,57,TrialType.Czech,2,BlockType.Alternating,4,37,37_st_4.wav,21
58,58,TrialType.Ostrava,2,BlockType.Alternating,4,77,77_d_4.wav,22
59,59,TrialType.Czech,2,BlockType.Alternating,4,42,42_st_4.wav,23
60,60,TrialType.Ostrava,2,BlockType.Alternating,4,105,105_d_4.wav,24
61,61,TrialType.Ostrava,3,BlockType.Homogenous,4,125,125_d_4.wav,31
62,62,TrialType.Ostrava,3,BlockType.Homogenous,4,60,60_d_4.wav,32
63,63,TrialType.Ostrava,3,BlockType.Homogenous,4,52,52_d_4.wav,33
64,64,TrialType.Ostrava,3,BlockType.Homogenous,4,97,97_d_4.wav,34
