trial,trial,condition,block_number,block_type,set_number,stimulus_number,stimulus,trigger
1,1,TrialType.Ostrava,3,BlockType.Homogenous,1,100,100_d_4.wav,31
2,2,TrialType.Ostrava,3,BlockType.Homogenous,1,2,02_d_4.wav,32
3,3,TrialType.Ostrava,3,BlockType.Homogenous,1,105,105_d_4.wav,33
4,4,TrialType.Ostrava,3,BlockType.Homogenous,1,44,44_d_4.wav,34
5,5,TrialType.Ostrava,4,BlockType.Alternating,1,6,06_d_4.wav,41
6,6,TrialType.Czech,4,BlockType.Alternating,1,84,84_st_4.wav,42
7,7,TrialType.Ostrava,4,BlockType.Alternating,1,38,38_d_4.wav,43
8,8,TrialType.Czech,4,BlockType.Alternating,1,30,30_st_4.wav,44
9,9,TrialType.Czech,1,BlockType.Homogenous,1,129,129_st_4.wav,11
10,10,TrialType.Czech,1,BlockType.Homogenous,1,81,81_st_4.wav,12
11,11,TrialType.Czech,1,BlockType.Homogenous,1,18,18_st_4.wav,13
12,12,TrialType.Czech,1,BlockType.Homogenous,1,15,15_st_4.wav,14
13,13,TrialType.Czech,2,BlockType.Alternating,1,70,70_st_4.wav,21
14,14,TrialType.Ostrava,2,BlockType.Alternating,1,87,87_d_4.wav,22
15,15,TrialType.Czech,2,BlockType.Alternating,1,62,62_st_4.wav,23
16,16,TrialType.Ostrava,2,BlockType.Alternating,1,94,94_d_4.wav,24
17,17,TrialType.Ostrava,3,BlockType.Homogenous,2,110,110_d_4.wav,31
18,18,TrialType.Ostrava,3,BlockType.Homogenous,2,117,117_d_4.wav,32
19,19,TrialType.Ostrava,3,BlockType.Homogenous,2,16,16_d_4.wav,33
20,20,TrialType.Ostrava,3,BlockType.Homogenous,2,69,69_d_4.wav,34
21,21,TrialType.Ostrava,4,BlockType.Alternating,2,10,10_d_4.wav,41
22,22,TrialType.Czech,4,BlockType.Alternating,2,58,58_st_4.wav,42
23,23,TrialType.Ostrava,4,BlockType.Alternating,2,17,17_d_4.wav,43
24,24,TrialType.Czech,4,BlockType.Alternating,2,128,128_st_4.wav,44
25,25,TrialType.Czech,1,BlockType.Homogenous,2,53,53_st_4.wav,11
26,26,TrialType.Czech,1,BlockType.Homogenous,2,123,123_st_4.wav,12
27,27,TrialType.Czech,1,BlockType.Homogenous,2,130,130_st_4.wav,13
28,28,TrialType.Czech,1,BlockType.Homogenous,2,101,101_st_4.wav,14
29,29,TrialType.Czech,2,BlockType.Alternating,2,106,106_st_4.wav,21
30,30,TrialType.Ostrava,2,BlockType.Alternating,2,75,75_d_4.wav,22
31,31,TrialType.Czech,2,BlockType.Alternating,2,9,09_st_4.wav,23
32,32,TrialType.Ostrava,2,BlockType.Alternating,2,113,113_d_4.wav,24
33,33,TrialType.Ostrava,3,BlockType.Homogenous,3,37,37_d_4.wav,31
34,34,TrialType.Ostrava,3,BlockType.Homogenous,3,77,77_d_4.wav,32
35,35,TrialType.Ostrava,3,BlockType.Homogenous,3,34,34_d_4.wav,33
36,36,TrialType.Ostrava,3,BlockType.Homogenous,3,43,43_d_4.wav,34
37,37,TrialType.Ostrava,4,BlockType.Alternating,3,102,102_d_4.wav,41
38,38,TrialType.Czech,4,BlockType.Alternating,3,127,127_st_4.wav,42
39,39,TrialType.Ostrava,4,BlockType.Alternating,3,125,125_d_4.wav,43
40,40,TrialType.Czech,4,BlockType.Alternating,3,41,41_st_4.wav,44
41,41,TrialType.Czech,1,BlockType.Homogenous,3,66,66_st_4.wav,11
42,42,TrialType.Czech,1,BlockType.Homogenous,3,1,01_st_4.wav,12
43,43,TrialType.Czech,1,BlockType.Homogenous,3,116,116_st_4.wav,13
44,44,TrialType.Czech,1,BlockType.Homogenous,3,83,83_st_4.wav,14
45,45,TrialType.Czech,2,BlockType.Alternating,3,65,65_st_4.wav,21
46,46,TrialType.Ostrava,2,BlockType.Alternating,3,99,99_d_4.wav,22
47,47,TrialType.Czech,2,BlockType.Alternating,3,89,89_st_4.wav,23
48,48,TrialType.Ostrava,2,BlockType.Alternating,3,126,126_d_4.wav,24
49,49,TrialType.Ostrava,3,BlockType.Homogenous,4,132,132_d_4.wav,31
50,50,TrialType.Ostrava,3,BlockType.Homogenous,4,3,03_d_4.wav,32
51,51,TrialType.Ostrava,3,BlockType.Homogenous,4,32,32_d_4.wav,33
52,52,TrialType.Ostrava,3,BlockType.Homogenous,4,27,27_d_4.wav,34
53,53,TrialType.Ostrava,4,BlockType.Alternating,4,131,131_d_4.wav,41
54,54,TrialType.Czech,4,BlockType.Alternating,4,64,64_st_4.wav,42
55,55,TrialType.Ostrava,4,BlockType.Alternating,4,114,114_d_4.wav,43
56,56,TrialType.Czech,4,BlockType.Alternating,4,50,50_st_4.wav,44
57,57,TrialType.Czech,1,BlockType.Homogenous,4,23,23_st_4.wav,11
58,58,TrialType.Czech,1,BlockType.Homogenous,4,107,107_st_4.wav,12
59,59,TrialType.Czech,1,BlockType.Homogenous,4,121,121_st_4.wav,13
60,60,TrialType.Czech,1,BlockType.Homogenous,4,124,124_st_4.wav,14
61,61,TrialType.Czech,2,BlockType.Alternating,4,103,103_st_4.wav,21
62,62,TrialType.Ostrava,2,BlockType.Alternating,4,71,71_d_4.wav,22
63,63,TrialType.Czech,2,BlockType.Alternating,4,111,111_st_4.wav,23
64,64,TrialType.Ostrava,2,BlockType.Alternating,4,46,46_d_4.wav,24
