trial,trial,condition,block_number,block_type,set_number,stimulus_number,stimulus
1,1,TrialType.Czech,1,BlockType.Homogenous,1,66,66_st_4.wav
2,2,TrialType.Czech,1,BlockType.Homogenous,1,5,05_st_4.wav
3,3,TrialType.Czech,1,BlockType.Homogenous,1,43,43_st_4.wav
4,4,TrialType.Czech,1,BlockType.Homogenous,1,12,12_st_4.wav
5,5,TrialType.Czech,2,BlockType.Alternating,1,101,101_st_4.wav
6,6,TrialType.Ostrava,2,BlockType.Alternating,1,126,126_d_4.wav
7,7,TrialType.Czech,2,BlockType.Alternating,1,94,94_st_4.wav
8,8,TrialType.Ostrava,2,BlockType.Alternating,1,106,106_d_4.wav
9,9,TrialType.Ostrava,3,BlockType.Homogenous,1,82,82_d_4.wav
10,10,TrialType.Ostrava,3,BlockType.Homogenous,1,24,24_d_4.wav
11,11,TrialType.Ostrava,3,BlockType.Homogenous,1,115,115_d_4.wav
12,12,TrialType.Ostrava,3,BlockType.Homogenous,1,65,65_d_4.wav
13,13,TrialType.Ostrava,4,BlockType.Alternating,1,41,41_d_4.wav
14,14,TrialType.Czech,4,BlockType.Alternating,1,50,50_st_4.wav
15,15,TrialType.Ostrava,4,BlockType.Alternating,1,93,93_d_4.wav
16,16,TrialType.Czech,4,BlockType.Alternating,1,61,61_st_4.wav
17,17,TrialType.Czech,1,BlockType.Homogenous,2,111,111_st_4.wav
18,18,TrialType.Czech,1,BlockType.Homogenous,2,44,44_st_4.wav
19,19,TrialType.Czech,1,BlockType.Homogenous,2,30,30_st_4.wav
20,20,TrialType.Czech,1,BlockType.Homogenous,2,95,95_st_4.wav
21,21,TrialType.Czech,2,BlockType.Alternating,2,27,27_st_4.wav
22,22,TrialType.Ostrava,2,BlockType.Alternating,2,74,74_d_4.wav
23,23,TrialType.Czech,2,BlockType.Alternating,2,90,90_st_4.wav
24,24,TrialType.Ostrava,2,BlockType.Alternating,2,83,83_d_4.wav
25,25,TrialType.Ostrava,3,BlockType.Homogenous,2,73,73_d_4.wav
26,26,TrialType.Ostrava,3,BlockType.Homogenous,2,119,119_d_4.wav
27,27,TrialType.Ostrava,3,BlockType.Homogenous,2,26,26_d_4.wav
28,28,TrialType.Ostrava,3,BlockType.Homogenous,2,105,105_d_4.wav
29,29,TrialType.Ostrava,4,BlockType.Alternating,2,23,23_d_4.wav
30,30,TrialType.Czech,4,BlockType.Alternating,2,102,102_st_4.wav
31,31,TrialType.Ostrava,4,BlockType.Alternating,2,108,108_d_4.wav
32,32,TrialType.Czech,4,BlockType.Alternating,2,52,52_st_4.wav
33,33,TrialType.Czech,1,BlockType.Homogenous,3,49,49_st_4.wav
34,34,TrialType.Czech,1,BlockType.Homogenous,3,70,70_st_4.wav
35,35,TrialType.Czech,1,BlockType.Homogenous,3,29,29_st_4.wav
36,36,TrialType.Czech,1,BlockType.Homogenous,3,97,97_st_4.wav
37,37,TrialType.Czech,2,BlockType.Alternating,3,39,39_st_4.wav
38,38,TrialType.Ostrava,2,BlockType.Alternating,3,10,10_d_4.wav
39,39,TrialType.Czech,2,BlockType.Alternating,3,127,127_st_4.wav
40,40,TrialType.Ostrava,2,BlockType.Alternating,3,92,92_d_4.wav
41,41,TrialType.Ostrava,3,BlockType.Homogenous,3,130,130_d_4.wav
42,42,TrialType.Ostrava,3,BlockType.Homogenous,3,110,110_d_4.wav
43,43,TrialType.Ostrava,3,BlockType.Homogenous,3,1,01_d_4.wav
44,44,TrialType.Ostrava,3,BlockType.Homogenous,3,4,04_d_4.wav
45,45,TrialType.Ostrava,4,BlockType.Alternating,3,120,120_d_4.wav
46,46,TrialType.Czech,4,BlockType.Alternating,3,46,46_st_4.wav
47,47,TrialType.Ostrava,4,BlockType.Alternating,3,13,13_d_4.wav
48,48,TrialType.Czech,4,BlockType.Alternating,3,103,103_st_4.wav
49,49,TrialType.Czech,1,BlockType.Homogenous,4,67,67_st_4.wav
50,50,TrialType.Czech,1,BlockType.Homogenous,4,104,104_st_4.wav
51,51,TrialType.Czech,1,BlockType.Homogenous,4,14,14_st_4.wav
52,52,TrialType.Czech,1,BlockType.Homogenous,4,96,96_st_4.wav
53,53,TrialType.Czech,2,BlockType.Alternating,4,62,62_st_4.wav
54,54,TrialType.Ostrava,2,BlockType.Alternating,4,20,20_d_4.wav
55,55,TrialType.Czech,2,BlockType.Alternating,4,48,48_st_4.wav
56,56,TrialType.Ostrava,2,BlockType.Alternating,4,75,75_d_4.wav
57,57,TrialType.Ostrava,3,BlockType.Homogenous,4,54,54_d_4.wav
58,58,TrialType.Ostrava,3,BlockType.Homogenous,4,76,76_d_4.wav
59,59,TrialType.Ostrava,3,BlockType.Homogenous,4,59,59_d_4.wav
60,60,TrialType.Ostrava,3,BlockType.Homogenous,4,79,79_d_4.wav
61,61,TrialType.Ostrava,4,BlockType.Alternating,4,7,07_d_4.wav
62,62,TrialType.Czech,4,BlockType.Alternating,4,28,28_st_4.wav
63,63,TrialType.Ostrava,4,BlockType.Alternating,4,63,63_d_4.wav
64,64,TrialType.Czech,4,BlockType.Alternating,4,25,25_st_4.wav
